City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
48,Fort-Shevchenko,KZ,37.6,overcast clouds,44.5086,50.263,
50,Digoin,FR,39.29,overcast clouds,46.4812,3.9795,
57,Lerwick,GB,39.2,overcast clouds,60.1545,-1.1494,
94,Hellvik,NO,35.78,overcast clouds,59.9156,5.781,
123,Elizabeth City,US,36.01,scattered clouds,36.2946,-76.2511,
126,Katsuura,JP,39.31,overcast clouds,35.1333,140.3,
147,Sitka,US,36.52,overcast clouds,57.0531,-135.33,
158,Klaksvik,FO,36.52,overcast clouds,62.2266,-6.589,
176,Hamilton,US,37.18,few clouds,39.1834,-84.5333,
189,Ketchikan,US,35.58,overcast clouds,55.3422,-131.6461,
259,Grenaa,DK,36.84,broken clouds,56.4158,10.8783,
266,Torbay,CA,38.39,broken clouds,47.6666,-52.7314,
292,Svetlyy,RU,35.65,overcast clouds,54.675,20.1347,
303,Saint-Francois,FR,38.64,overcast clouds,46.4154,3.9054,
314,Bonavista,CA,38.12,overcast clouds,48.6499,-53.1147,
327,Starogard Gdanski,PL,36.07,broken clouds,53.964,18.5264,
344,Neyshabur,IR,35.2,clear sky,36.2133,58.7958,
346,Kashan,IR,36.99,clear sky,33.9831,51.4364,
353,Uhlove,UA,39.78,overcast clouds,44.8215,33.6045,
359,Lure,FR,36.05,overcast clouds,47.75,6.5,
366,Melendugno,IT,37.06,clear sky,40.2747,18.3368,
370,Brae,GB,39.11,overcast clouds,60.3964,-1.353,
394,Jumla,NP,35.2,clear sky,29.2747,82.1838,
401,Partenit,UA,39.76,overcast clouds,44.578,34.3446,
420,Bay Roberts,CA,39.15,overcast clouds,47.5999,-53.2648,
425,Matsusaka,JP,39.09,broken clouds,34.5667,136.5333,
437,Virginia Beach,US,35.62,scattered clouds,36.8529,-75.978,
452,Juneau,US,36.84,light snow,58.3019,-134.4197,
472,Wenling,CN,36.91,clear sky,28.3669,121.36,
545,Huilong,CN,37.04,clear sky,31.8111,121.655,
